B	44,5	85,34	51,79	61,51	35,31	18,61	21,49	54,5	51,31	0,77	0,78	0,77
C	44,49	58,69	30,76	26,32	42,24	27,7	52,93	22,31	0,8	70,88	42,8	81,95
D	46,76	20,2	26,4	40,33	0,8	55,46	49,96	96,58	36,76	86,68	0,79	63,67
E	47,9	29,07	28,13	34,43	31,27	33,09	2,0	76,95	133,11	69,92	0,81	24,57
F	118,47	68,97	0,76	51,48	94,66	30,64	50,34	0,8	45,06	58,55	27,06	77,05
G	34,86	0,8	50,75	62,65	35,76	67,52	0,87	96,0	43,68	44,92	53,46	67,42
